;area;parola_cercata;date;media;median;count;stato
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Croatia
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Croatia
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Croatia
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Croatia
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Croatia
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Croatia
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Croatia
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Croatia
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Croatia
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Croatia
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Croatia
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Croatia
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Croatia
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Croatia
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Croatia
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Croatia
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Croatia
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Croatia
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Croatia
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Croatia
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Croatia
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Croatia
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Croatia
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Croatia
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Croatia
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Republic of Cyprus
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Republic of Cyprus
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Republic of Cyprus
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Republic of Cyprus
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Republic of Cyprus
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Republic of Cyprus
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Republic of Cyprus
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Republic of Cyprus
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Republic of Cyprus
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Republic of Cyprus
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Republic of Cyprus
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Republic of Cyprus
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Republic of Cyprus
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Republic of Cyprus
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Republic of Cyprus
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Republic of Cyprus
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Republic of Cyprus
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Republic of Cyprus
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Republic of Cyprus
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Republic of Cyprus
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Republic of Cyprus
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Republic of Cyprus
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Republic of Cyprus
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Republic of Cyprus
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Republic of Cyprus
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Republic of Cyprus
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Republic of Cyprus
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Republic of Cyprus
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Republic of Cyprus
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Republic of Cyprus
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Republic of Cyprus
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Czech Republic
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Czech Republic
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Czech Republic
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Czech Republic
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Czech Republic
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Czech Republic
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Czech Republic
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Czech Republic
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Czech Republic
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Czech Republic
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Czech Republic
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Czech Republic
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Czech Republic
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Czech Republic
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Czech Republic
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Czech Republic
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Czech Republic
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Czech Republic
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Czech Republic
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Czech Republic
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Czech Republic
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Czech Republic
